longitude	latitude	flightaltitude	timediff, dayfrac	timediff, hh:mm:ss	day=0/night=1
-122.19	33.53	11582.4	-0.0968634258024395	-02:19:29	0
-156.42	22.43	7498.08	-0.0968171297572553	-02:19:25	0
-149.58	25.97	10972.8	-0.0967476852238178	-02:19:19	1
-155.2	23.6	10972.8	-0.0967013887129724	-02:19:15	0
-152.05	23.28	10363.2	-0.0966782406903803	-02:19:13	0
-156.42	22.48	10119.36	-0.0965509261004627	-02:19:02	0
-156.83	21.35	7376.16	-0.0965509256348014	-02:19:02	1
-137.42	32.83	10972.8	-0.0965277776122093	-02:19:00	0
-122.26	33.52	10668	-0.0964930555783212	-02:18:57	0
-139.43	28.7	9144	-0.0964004630222917	-02:18:49	0
-156.32	21.78	8534.4	-0.0963888890109956	-02:18:48	0
-154.87	22.27	10363.2	-0.0963888890109956	-02:18:48	0
-139.43	28.7	9144	-0.0963888885453343	-02:18:48	0
-156.57	22.87	10972.8	-0.0962847219780087	-02:18:39	0
-144.35	29.75	10363.2	-0.0962615739554167	-02:18:37	0
-156.28	21.82	10759.44	-0.0962268519215286	-02:18:34	0
-156.35	22.47	11582.4	-0.0961574073880911	-02:18:28	0
-139.43	28.7	8839.2	-0.096122685354203	-02:18:25	0
-139.43	28.7	8839.2	-0.096111111342907	-02:18:24	0
-126.2	36.7	10972.8	-0.0961111108772457	-02:18:24	0
-120.61	33.71	10058.4	-0.0960995373316109	-02:18:23	0
-138.08	29.18	12192	-0.0960763888433576	-02:18:21	0
-146.52	25.85	10058.4	-0.0960185183212161	-02:18:16	0
-153.45	22.7	11277.6	-0.095972222276032	-02:18:12	0
-155.08	22.08	12192	-0.0958564812317491	-02:18:02	1
-156.8	21.62	6614.16	-0.095844907220453	-02:18:01	1
-152.08	23.26	10058.4	-0.095821759197861	-02:17:59	0
-152.58	25.31	12192	-0.0957986111752689	-02:17:57	0
-156.32	21.97	9509.76	-0.0957870371639729	-02:17:56	0
-122.2	33.54	11277.6	-0.0957638886757195	-02:17:54	0
-139.43	28.7	10972.8	-0.0957523146644235	-02:17:53	0
-143.3	26.21	11277.6	-0.0956712965853512	-02:17:46	1
