lon	lat	alt
-140.34692	26.231873	9753.6
-140.83498	28.179405	10363.2
-150.60057	23.928726	10363.2
-127.98756	32.228275	10363.2
-150.62283	24.021345	10363.2
-127.98126	32.204872	9753.6
-150.63104	24.055334	9753.6
-144.75739	26.604067	10972.8
-138.00655	29.208252	10972.8
-138.00656	29.208246	9753.6
-138.00655	29.208252	10363.2
-129.49644	31.858812	9144
-156.76904	21.646194	7437.12
-147.8337	25.26516	11277.6
-124.54418	30.90898	9753.6
-147.37737	23.377697	10058.4
-125.08742	32.930714	10363.2
-147.84026	25.292095	10363.2
-125.08862	32.935112	10058.4
-147.82063	25.211401	10058.4
-135.15083	30.115526	10668
-135.15541	30.133139	11582.4
-135.1637	30.168587	9753.6
-126.180984	32.68612	9144
-153.42233	22.727135	10058.4
-145.04103	26.481142	10972.8
-145.04143	26.482718	10363.2
-130.68661	36.367966	10058.4
-152.71545	26.28912	10363.2
-139.41585	28.706203	9753.6
-139.41585	28.706203	10363.2
-140.14117	31.484688	10058.4
-125.993935	30.579754	10972.8
-126.53246	32.593723	9448.8
-149.20677	24.595161	9448.8
-126.53208	32.592323	8839.2
-149.20854	24.602394	8534.4
-137.77621	34.154922	10363.2
-136.5781	29.700224	7924.8
-136.5781	29.700224	9144
-136.57811	29.700218	11582.4
-147.0532	28.380768	10972.8
-147.29884	29.339739	9144
-123.81717	33.970394	9144
-147.05539	28.389366	9448.8
-123.62183	33.26542	9753.6
-123.62183	33.26542	9448.8
-146.42853	25.887058	9753.6
-133.725	30.623772	9144
-134.63773	33.996536	9144
-134.61597	33.91893	8839.2
-156.40962	22.439508	7924.8
-134.91365	34.97836	10363.2
-133.725	30.623772	7924.8
-144.31415	29.76535	10363.2
-120.69907	33.887875	9723.12
-144.31404	29.764923	10972.8
-120.712456	33.9364	7620
-144.33353	29.839832	10363.2
-130.85483	31.473053	10668
-153.38312	22.728981	10668
-130.84901	31.451584	8534.4
-153.38785	22.749016	10363.2
-140.81358	28.187544	11277.6
-140.8136	28.18757	10668
-140.81361	28.187645	11277.6
-140.81355	28.187447	10668
-132.81618	30.899342	9144
-127.96455	32.235867	10363.2
-150.54466	23.80202	10363.2
-127.96484	32.23696	10972.8
-150.57585	23.932123	11277.6
-127.97903	32.289196	10058.4
-150.60936	24.071318	10058.4
-144.72621	26.614489	9753.6
-137.98125	29.21712	11277.6
-137.98125	29.21712	12192
-137.98125	29.21712	9753.6
-129.46284	31.868668	9144
-156.73473	21.66145	7315.2
-125.05902	32.936146	10972.8
-147.80566	25.273853	10972.8
-125.05933	32.93726	10058.4
-147.81346	25.305756	10058.4
-141.28125	28.00778	10363.2
-135.12854	30.154234	9753.6
-135.13474	30.177969	9753.6
-135.76453	32.54203	10363.2
-135.13474	30.177969	9144
-126.14831	32.676666	10363.2
-153.38664	22.728552	10363.2
-119.55763	34.12174	5486.4
-146.43143	25.885292	10363.2
-139.38208	28.718412	10668
-139.3818	28.717382	9753.6
-139.38208	28.71838	10363.2
